id_recepta,ime_recepta,cas_priprave,enota_priprave,cas_kuhanja,enota_kuhanja,st_porcij,kalorije,ogljikovi_hidrati,mascobe,beljakovine
74,Perfect Air Fryer Shrimp,4,mins,6,mins,4,163.0,2.0,8.0,19.5
75,French Onion Chicken,10,mins,45,mins,4,335.0,16.5,14.5,33.5
76,Salmon Caesar Salad,15,mins,15,mins,4,364.0,6.5,20.0,42.0
77,Spicy Hearts of Palm Noodles with Chicken,5,mins,15,mins,2,275.0,16.5,12.0,26.0
78,Buffalo Chicken Rice Bowls,15,mins,15,mins,4,485.0,47.5,9.5,49.5
79,Whipped Feta Dip  ,15,mins,0,mins,6,155.0,2.5,13.0,7.5
80,Spinach Dip Stuffed Mushrooms,15,mins,25,mins,12,105.0,5.0,7.0,7.0
81,Breakfast Strata with Sausage and Mushrooms,10,mins,50,mins,8,289.0,18.2,12.4,24.3
82,Slow Cooker Steel Cut Oats,5,mins,2,hrs,4,302.0,50.5,8.0,9.0
83,"One-Pot Orzo with Sausage, Spinach and Corn",5,mins,25,mins,4,381.0,44.0,12.0,26.0
84,Healthy Chocolate Chip Oat Cookies,10,mins,10,mins,12,174.0,20.0,10.0,4.0
85,Veggie Stromboli,20,mins,35,mins,8,217.5,31.5,6.0,11.0
86,Spinach Prosciutto and Mozzarella Stuffed Pork Tenderloin,15,mins,30,mins,4,208.0,3.0,8.5,29.0
87,Butternut Squash Galette,30,mins,1,hr,6,274.0,32.0,15.5,5.5
88,Buttermilk-Marinated Air Fryer Whole Roasted Chicken,5,mins,50,mins,4,329.0,1.0,12.5,50.0
89,Bacon Spinach Breakfast Casserole with Gruyère,10,mins,45,mins,8,276.0,4.0,19.0,22.0
90,Rainbow Quinoa Salad with Lemon Dressing,15,mins,15,mins,4,394.0,51.0,17.0,10.5
92,Caesar Dip,10,mins,0,mins,6,68.0,3.5,4.0,4.5
93,Spicy Vodka Chicken Parmesan,15,mins,15,mins,4,386.0,25.5,14.0,39.0
94,Oysters Rockefeller ,20,mins,10,mins,12,116.0,7.5,4.5,11.0
95,Fennel Gratin,10,mins,1,hr,6,191.0,24.5,8.5,8.0
96,Savory Steel Cut Oats,5,mins,12,mins,1,290.0,26.0,12.0,21.0
97,Asian Chicken Lettuce Wraps,10,mins,40,mins,6,102.0,9.5,3.0,8.5
98,Herb Roasted Carrots,15,mins,35,mins,6,106.0,15.0,5.0,2.0
99,Air Fryer Chicken Thighs,5,mins,24,mins,6,213.0,1.5,15.5,16.0
100,High-Protein Zucchini Omelet,5,mins,12,mins,1,283.0,10.5,13.0,31.0
101,Tortilla Soup,15,mins,25,mins,6,246.0,16.0,10.0,17.0
102,Stuffed Butternut Squash with Wild Rice and Sausage,15,mins,1,hr,4,314.0,51.0,7.5,16.5
103,Kale and Brussels Sprout Salad,20,mins,0,mins,8,165.0,7.0,14.0,4.0
104,Sheet Pan Thanksgiving,20,mins,50,mins,4,608.0,38.0,26.5,59.0
105,Cornbread Sausage Stuffing,1,hr,1,hr,16,182.0,21.0,7.5,8.5
106,Vanilla Sweet Potato Casserole with Praline Topping,15,mins,1,hr,10,218.0,35.0,8.5,4.5
107,"Roasted Butternut Squash with Onions, Bacon, and Parmesan",15,mins,40,mins,4,158.0,19.0,8.0,5.0
108,Garlic Mashed Potatoes,10,mins,20,mins,5,165.0,31.0,3.0,5.0
109,High-Protein Enchilada Scrambled Eggs,2,mins,5,mins,1,270.0,12.0,14.0,25.5
110,Roasted Acorn Squash Soup,15,mins,1,hr,6,180.0,33.5,5.0,4.5
111,Chicken Parmesan Rolls,25,mins,20,mins,4,259.0,28.0,4.5,27.5
112,Lightened Up Green Bean Casserole with Shallot Crumb Topping,30,mins,30,mins,8,160.0,22.0,6.0,7.0
113,Dairy-Free Heavy Cream,5,mins,0,mins,12,86.0,4.5,7.0,3.0
114,Garlic-Ginger Chicken Stir-Fry,10,mins,10,mins,4,450.0,19.5,21.0,45.5
115,Sweet Potato Soup with Sausage and Kale,10,mins,6,hrs,6,265.0,23.0,8.5,23.5
116,Everything Bagel Pigs in a Blanket,20,mins,25,mins,8,160.0,14.0,5.0,12.0
117,Garlic Butter Mushrooms,5,mins,10,mins,4,111.0,5.0,10.0,4.0
118,Turmeric Chicken Noodle Soup,20,mins,1,hr,6,386.0,56.0,3.5,27.5
119,Apple Pie Overnight Oats,10,mins,15,mins,2,361.0,59.0,11.0,8.0
120,Avocado Toast with Egg (4 Ways),5,mins,5,mins,1,229.0,23.0,10.0,12.0
121,Black Bean Soup Recipe (From Scratch),10,mins,1,hr,8,256.0,45.0,3.0,13.5
122,Blackened Air Fryer Salmon Bites,3,mins,7,mins,4,251.0,2.0,11.0,34.0
123,Tofu Tacos with Potatoes and Jalapeños,15,mins,35,mins,4,444.0,44.0,24.0,16.0
124,Sweet Potato Turkey Meatloaf,15,mins,55,mins,4,264.0,19.0,10.5,24.0
125,Lemony Hearts of Palm and Avocado Salad,10,mins,0,mins,4,145.0,8.0,12.5,2.5
126,Pizza Sausage Rolls,20,mins,30,mins,4,302.0,30.0,10.0,22.0
127,Korean-Inspired Salmon Tacos with Spicy Slaw,10,mins,10,mins,4,404.0,33.0,18.0,27.0
128,Hot Mexican Layer Dip,10,mins,50,mins,12,173.0,11.5,8.5,15.5
129,Creamy Pumpkin Polenta,5,mins,25,mins,6,133.0,14.0,6.0,3.0
130,Quick Black Beans,2,mins,20,mins,4,135.0,20.0,4.0,6.0
131,Air Fryer Butternut Squash,15,mins,25,mins,4,113.0,21.5,3.5,2.0
132,Slow Cooker Beef Ragu,15,mins,4,hrs,6,176.0,15.0,7.0,16.0
133,Pumpkin Banana Bread,25,mins,1,hr,12,146.5,33.3,2.7,2.7
134,Lox and Eggs with Onions,5,mins,15,mins,2,279.0,9.0,17.0,21.5
135,"Fall Brussels Sprout Salad with Apple, Pecans, and Blue Cheese",20,mins,0,mins,4,202.0,17.0,13.5,5.0
136,Turmeric Roasted Sweet Potato and Macadamia Soup,10,mins,1,hr,9,199.0,30.5,8.0,2.5
137,Air Fryer Salmon Fish Sandwich,5,mins,10,mins,4,493.0,31.5,24.0,33.0
138,Whole Wheat Pumpkin Pecan Pancakes,10,mins,10,mins,4,234.0,31.0,8.0,10.0
139,Chicken Taco Poblano Rice Bowls,10,mins,15,mins,4,475.0,52.0,12.0,40.5
140,Peanut Butter Banana Muffins,15,mins,25,mins,12,192.0,24.5,9.0,5.5
142,"Sheet Pan Baked Feta with Broccolini, Tomatoes and Chickpeas",15,mins,30,mins,4,372.0,33.0,21.5,17.5
143,Maple Roasted Butternut Squash,5,mins,40,mins,4,104.0,23.0,2.0,1.0
144,Pumpkin Cream Cheese Muffins,15,mins,25,mins,12,170.0,25.0,6.0,3.5
145,Sausage and Potato Soup,10,mins,45,mins,4,402.0,60.0,7.5,25.0
146,Parmesan-Herb Baked Salmon,5,mins,20,mins,6,256.0,2.0,13.0,31.0
147,Avocado Toast with Halloumi and Soft-Boiled Egg,5,mins,15,mins,1,295.0,19.0,17.0,16.0
148,Chicken Enchilada Stuffed Zucchini Boats,15,mins,45,mins,4,232.0,22.0,7.0,24.0
149,Protein Chia Seed Cereal,2,mins,0,mins,1,318.0,30.0,10.0,29.0
150,Fish Taco Bowl,5,mins,10,mins,4,264.0,9.0,12.5,31.5
151,Spaghetti and Meatball Soup,10,mins,20,mins,6,213.0,27.5,3.0,22.0
152,Heirloom Tomato Galette,10,mins,35,mins,8,153.0,15.5,10.0,2.0
153,"Grilled Chicken Panini with Zucchini, Tomato, and Mozzarella  ",10,mins,10,mins,2,433.0,33.5,17.5,36.0
154,Air Fryer Sweet Plantains,5,mins,20,mins,4,109.0,28.5,0.5,1.0
155,Zucchini Quiche,15,mins,1,hr,6,307.0,21.0,19.0,15.0
156,Zucchini Bread,20,mins,55,mins,16,144.0,21.0,5.5,3.5
157,Creamy Corn Soup with Queso Fresco,10,mins,25,mins,6,206.0,28.5,6.5,11.5
158,Tuna Tartare with Cucumber and Avocado,10,mins,0,mins,4,114.0,2.5,6.5,11.0
159,Tortellini Salad,10,mins,20,mins,14,192.0,24.0,8.0,6.0
160,Baked Wonton Chips,5,mins,8,mins,4,70.0,14.0,0.5,2.5
161,Lentil salad,15,mins,20,mins,5,181.0,29.5,3.5,10.0
162,Air Fryer Popcorn Chicken,30,mins,10,mins,4,283.0,21.0,8.0,30.0
