ime,kalorije,kjoule,voda,proteini,ogljikovi hidrati,sladkor,mascobe,vlaknine
Bread crumbs plain,383,1601,6.0,13.0,73.0,73.0,3.0,4.0
Bread mix wheat and rye,220,922,43.7,6.7,41.5,41.5,1.6,5.5
Bread pita white,267,1116,32.8,8.8,52.0,52.0,1.5,3.9
Bread raisin,289,1208,35.0,6.3,46.0,46.0,8.0,3.7
Bread raisin enriched,273,1141,35.4,6.8,49.0,49.0,4.6,3.2
Bread rolls mixed varieties,299,1249,27.5,9.5,55.0,55.0,3.5,3.5
Bread rolls regular,282,1178,33.2,8.5,50.0,50.0,4.5,2.8
Bread rye dark,198,833,47.0,5.5,36.0,36.0,1.5,9.0
Bread rye mixed varieties,242,1011,39.8,6.2,44.5,44.5,3.0,5.5
Bread seven grain,266,1111,34.6,9.7,46.0,46.0,3.4,5.3
Bread sourdough whole-wheat,206,864,46.4,7.5,35.4,35.4,2.0,7.7
Bread sugarloaf,310,1295,25.0,7.0,54.4,54.4,7.2,2.4
Bread toasted regular,370,1547,11.0,13.5,68.0,68.0,4.0,2.5
Bread wheat,266,1111,34.3,8.2,48.8,48.8,3.0,4.7
Bread white made with low fat milk,255,1065,38.8,9.2,45.0,45.0,3.5,2.5
Bread white made with water,236,991,41.7,8.3,44.5,44.5,2.0,2.5
Bread whole-wheat,246,1446,37.6,8.4,43.5,43.5,2.6,6.9
Bream fish,115,484,77.0,16.5,0.0,0.0,5.5,0.0
Broadbeans cooked,42,177,86.0,4.5,3.7,3.7,0.0,4.8
Broadbeans raw,31,133,87.7,0.3,4.5,4.5,0.0,6.5
Broccoli cooked,29,124,89.6,3.2,2.0,2.0,0.1,4.1
Broccoli raw,29,125,90.0,3.3,2.0,2.0,0.2,3.5
Brown beans cooked,110,462,63.7,7.6,18.1,18.1,0.7,8.9
Brownie,484,2028,9.5,5.2,57.5,57.5,25.8,1.0
Brussels sprouts cooked,25,108,87.8,3.0,3.4,3.4,0.0,4.8
Brussels sprouts raw,37,155,85.5,3.8,4.2,4.2,0.5,4.0
Buckwheat,358,1496,10.6,10.4,72.6,72.6,1.7,3.7
Buckwheat flour,362,1513,10.0,10.8,69.9,69.9,2.7,5.6
Bulgur,375,1574,6.5,9.5,80.0,80.0,1.0,2.0
Burger vegetables Vegetarian,139,586,70.0,9.0,11.0,11.0,6.0,3.0
Butter Cake Dutch ,516,2157,8.0,4.5,55.0,55.0,31.0,0.5
Butter light,343,1434,58.0,2.8,1.2,1.2,37.0,0.0
Butter unsalted,735,3072,14.1,0.7,0.7,0.7,82.5,0.0
Butterfish,287,1200,56.5,18.5,0.0,0.0,24.0,0.0
Buttermilk porridge groats,49,209,87.0,3.5,7.5,7.5,0.5,0.5
Buttermilk sweetened,53,223,86.2,2.3,10.2,10.2,0.3,0.0
Buttermilk unsweetened,32,133,91.0,2.5,4.5,4.5,0.4,0.0
Cabbage Chinese pak choi raw,20,84,92.9,1.2,1.8,1.8,0.3,2.8
Cabbage green savoy raw,46,194,86.4,4.3,3.2,3.2,0.9,4.2
Cabbage oxheart raw,33,141,89.2,3.0,4.0,4.0,0.6,2.2
Cabbage red canned,46,194,86.5,1.0,9.5,9.5,0.0,2.0
Cabbage red cooked,18,78,93.2,1.2,2.4,2.4,0.0,2.2
Cabbage red raw,26,112,91.3,1.5,3.5,3.5,0.2,2.5
Cabbage savoy cooked boiled,30,127,91.2,1.2,2.8,2.8,1.0,2.8
Cabbage white raw,27,117,91.0,1.5,3.8,3.8,0.2,2.5
Cake fresh fruit topping,251,1049,51.2,3.5,30.7,30.7,12.5,1.1
Cake gingerbread ready-to-eat,308,1287,23.4,3.3,67.7,67.7,1.7,2.9
Cake pound,444,1856,18.5,7.5,47.0,47.0,25.0,1.0
Cake pound prepared with butter,443,1852,17.8,6.5,50.0,50.0,24.1,0.6
Cake sponge whipped cream topping,321,1341,43.4,5.0,30.0,30.0,20.2,0.4
Campari bitter 25 % v/v,203,855,63.0,0.0,20.0,20.0,0.0,0.0
Candied peel mixed varieties,307,1283,19.7,0.5,75.0,75.0,0.0,2.8
Candy hard mixed varieties,385,1609,5.0,0.1,95.0,95.0,0.0,0.0
Candy mixed varieties,398,1664,15.0,3.5,68.5,68.5,12.0,0.0
Candy toffee mixed varieties,464,1940,7.2,3.1,69.5,69.5,19.2,0.0
Candy tutti frutti,259,1082,29.0,2.0,56.5,56.5,0.0,11.5
Capuchins shocker pea canned,104,438,70.9,6.5,14.0,14.0,1.0,6.6
Caramel custard pudding,147,617,67.0,3.5,23.0,23.0,4.5,0.0
Carbonated beverage mixed varieties,41,170,88.0,0.0,10.0,10.0,0.0,0.0
Carbonated beverages mixed varieties diet,7,30,97.2,0.0,1.8,1.8,0.0,0.0
Carp raw,115,482,76.0,18.0,0.0,0.0,4.8,0.0
Carrot juice canned,30,127,91.5,0.0,7.5,7.5,0.0,0.0
Carrots baby raw,33,140,89.2,1.0,5.2,5.2,0.2,3.4
Carrots cooked,27,116,90.6,0.8,4.7,4.7,0.0,2.9
Cashew nuts raw,591,2470,4.0,18.5,22.5,22.5,46.5,7.5
Cassava flour,350,1463,11.9,2.8,82.0,82.0,0.3,2.0
Cassava raw,141,591,62.9,1.0,32.0,32.0,0.2,2.9
Catfish cooked,132,554,70.5,25.0,0.0,0.0,3.5,0.0
Cauliflower cooked,20,86,92.8,1.9,2.2,2.2,0.0,2.1
Cauliflower raw,24,102,91.8,2.0,3.0,3.0,0.0,2.2
Caviar black,273,1141,53.9,26.1,0.0,0.0,19.0,0.0
Caviar-like imitation,120,504,77.0,15.5,0.0,0.0,6.5,0.0
Cayenne pepper,371,1551,13.5,11.5,30.5,30.5,17.0,26.5
Celeriac raw,31,133,86.6,2.0,5.0,5.0,0.4,5.0
Celery leaves,12,51,94.2,1.0,2.0,2.0,0.0,1.8
Celery raw,17,75,93.1,0.7,3.5,3.5,0.1,1.6
Ceps porcini mushroom,20,84,93.4,2.5,0.0,0.0,0.6,2.5
Champagne,76,318,97.0,0.3,1.3,1.3,0.0,0.0
Chanterelle raw,19,81,92.4,2.1,1.1,1.1,0.0,3.4
Chard swiss raw,23,98,90.5,1.8,3.5,3.5,0.2,2.0
Cheddar cheese 50+,389,1626,40.9,25.4,0.5,0.5,32.2,0.0
Cheese 10+ ,193,810,59.0,33.5,0.0,0.0,6.5,0.0
Cheese 20+,235,988,55.0,32.0,0.0,0.0,12.0,0.0
Cheese 30+,253,1057,56.0,26.5,0.0,0.0,16.5,0.0
Cheese 40+,317,1325,48.5,26.9,0.0,0.0,23.6,0.0
Cheese 45+,364,1522,44.0,25.5,0.0,0.0,29.5,0.0
Cheese 48+,382,1597,41.5,24.5,0.0,0.0,32.0,0.0
Cheese Brie 50+,338,1413,48.5,22.5,0.0,0.0,28.0,0.0
Cheese Camenbert 30+,215,899,61.0,23.5,0.0,0.0,13.5,0.0
Cheese Camenbert 45+,282,1178,54.7,21.0,0.0,0.0,22.3,0.0
Cheese Danish blue,377,1576,46.0,19.0,0.0,0.0,34.0,0.0
Cheese Edam 30+,250,1045,52.4,26.4,0.0,0.0,16.2,0.0
Cheese Edam 40+,313,1308,45.5,26.1,0.0,0.0,23.4,0.0
Cheese Fèta,252,1053,62.1,14.2,1.2,1.2,21.5,0.0
Cheese Gorgonzola,354,1479,48.4,19.4,0.0,0.0,31.2,0.0
Cheese Gouda 48+,390,1630,41.0,25.5,0.0,0.0,32.5,0.0
Cheese Gouda smoked,311,1299,51.0,22.0,1.5,1.5,24.5,0.0
Cheese Gruyère,411,1718,35.0,29.5,1.0,1.0,32.5,0.0
Cheese Kernhemmer,423,1768,40.5,19.5,0.0,0.0,39.0,0.0
Cheese Leerdammer 45+,367,1534,42.5,27.5,0.0,0.0,29.0,0.0
Cheese Limburger 40+,269,1124,55.5,22.5,1.5,1.5,19.5,0.0
Cheese Maaslander 48+,374,1563,43.3,24.7,0.0,0.0,31.0,0.0
Cheese Port du salut,310,1295,53.0,20.0,0.0,0.0,26.0,0.0
Cheese Provolone,346,1446,45.1,25.0,2.1,2.1,26.8,0.0
Cheese Roquefort,359,1501,48.0,19.0,0.0,0.0,32.0,0.0
Cheese Saint Paulin,333,1392,47.2,25.0,1.0,1.0,25.8,0.0
Cheese Stilton,413,1726,39.5,23.5,0.0,0.0,36.0,0.0
Cheese Swiss Emmenthaler 45+,379,1584,37.6,28.7,0.0,0.0,29.7,0.0
Cheese Swiss mixed varieties,377,1576,38.7,28.9,3.6,3.6,27.8,0.0
Cheese cottage,100,422,79.1,12.8,2.9,2.9,4.2,0.0
Cheese cottage Hüttenkase,98,411,78.9,12.3,2.5,2.5,4.3,0.0
Cheese creamed with walnuts,321,1341,53.4,13.7,3.4,3.4,28.5,0.0
Cheese grated,217,909,55.5,35.0,0.0,0.0,8.5,0.0
Cheese mascarpone,408,1705,47.8,5.0,4.2,4.2,42.0,0.0
Cheese monterey,374,1563,43.0,24.6,0.7,0.7,30.7,0.0
Cheese mozzarella,246,1446,56.9,20.0,4.6,4.6,16.5,0.0
Cheese parmesan,422,1764,28.5,40.0,2.0,2.0,28.5,0.0
Cheese puffs,565,2367,1.5,6.4,55.0,55.0,35.7,0.4
Cheese ricotta whole milk,171,719,74.3,9.5,0.2,0.2,15.0,0.0
Cheese sheep mixed varieties,301,1258,52.2,15.3,6.5,6.5,24.0,0.0
Cheese spread Gouda 20 +,176,741,66.0,17.0,7.0,7.0,9.0,0.0
Cheese spread Gouda 48 +,267,1116,58.5,17.0,2.0,2.0,21.5,0.0
Cheese spread Gouda based,315,1316,48.3,18.2,9.5,9.5,23.0,0.0
