ime,kalorije,kjoule,voda,proteini,ogljikovi hidrati,sladkor,mascobe,vlaknine
Goat cheese semisoft type,264,1103,58.3,14.2,4.0,4.0,21.5,0.0
Goat cheese soft type,205,862,68.6,12.0,1.1,1.1,17.3,0.0
Goat meat domesticated raw,150,631,71.4,19.5,0.0,0.0,8.1,0.0
Goose meat and skin cooked roasted,278,1162,51.2,30.0,0.0,0.0,17.8,0.0
Goose meat and skin raw,340,1421,50.8,15.7,0.5,0.5,31.0,0.0
Gooseberries fresh,36,153,90.0,1.0,8.0,8.0,0.0,0.0
Goulash Hungarian soup,118,497,78.8,9.8,1.7,1.7,8.0,0.7
Grape juice,69,290,81.9,0.2,16.9,16.9,0.0,0.0
Grape seed oil ,879,3674,0.0,0.0,0.0,0.0,99.5,0.0
Grapefruit fresh,45,191,87.2,0.6,9.5,9.5,0.2,1.5
Grapefruit juice fresh,37,158,89.7,0.5,8.5,8.5,0.1,0.2
Grapefruit juice sweetened bottled,48,205,86.9,0.5,11.3,11.3,0.1,0.2
Grapes blue fresh,53,224,85.2,0.9,11.5,11.5,0.1,1.3
Grapes green/white fresh,57,242,84.5,0.5,13.5,13.5,0.0,0.5
Green beans flat pods cooked,21,91,90.2,1.8,3.6,3.6,0.0,3.4
Green beans flat pods raw,18,75,89.8,2.0,2.0,2.0,0.2,4.0
Green salad mixed varieties,19,82,93.1,1.0,2.9,2.9,0.0,2.0
Grouse game meat cooked,183,767,61.5,31.0,0.0,0.0,6.5,0.0
Guava fresh,46,195,85.8,0.9,7.5,7.5,0.5,4.3
Gurnard fish cooked,169,709,66.0,25.5,0.1,0.1,7.4,0.0
Hake fish raw,78,327,80.8,17.3,0.0,0.0,0.9,0.0
Halibut Atlantic and Pacific white raw,105,441,76.0,20.5,0.0,0.0,2.5,0.0
Ham cooked sliced regular,136,572,73.3,17.4,1.5,1.5,6.8,0.0
Ham dried Prociutto,198,831,64.2,22.8,0.0,0.0,12.0,0.0
Ham leg whole lean,162,679,70.3,17.7,1.4,1.4,9.6,0.0
Ham pork cured dried raw,201,845,64.0,21.5,1.0,1.0,12.5,0.0
Hamburger plain cooked,272,1137,55.5,21.0,2.5,2.5,20.0,0.0
Hamburger plain raw,229,962,61.2,18.0,3.8,3.8,16.0,0.0
Hamburger vegetarian,168,707,65.5,16.0,7.0,7.0,8.0,2.5
Hare game,114,481,74.2,21.8,0.0,0.0,3.0,0.0
Haricots verts string beans raw,44,186,86.4,2.4,6.1,6.1,0.3,3.8
Hazelnut oil,883,3691,0.0,0.0,0.0,0.0,100.0,0.0
Hazelnuts raw,667,2788,4.2,14.2,10.6,10.6,62.5,7.5
Heart pork raw,100,419,77.5,17.0,0.0,0.0,3.5,0.0
Herring Atlantic pickled glas,208,872,66.5,16.0,0.5,0.5,16.0,0.0
Herring Atlantic raw,216,906,64.0,18.0,0.5,0.5,16.0,0.0
Herring Atlantic salted,183,767,68.0,18.0,1.0,1.0,12.0,0.0
Herring Atlantic smoked,236,989,60.3,22.1,0.0,0.0,16.6,0.0
Herring canned tomato sauce,164,687,70.9,14.8,2.8,2.8,10.5,0.0
Herring slightly salted raw,165,695,69.5,19.0,0.8,0.8,9.7,0.0
Hollandaise sauce,98,411,84.0,1.8,5.4,5.4,7.8,0.0
Honey,308,1287,23.1,0.4,75.5,75.5,0.0,0.0
Horse meat raw,108,454,74.6,22.4,0.0,0.0,2.0,0.0
Horseradish,72,302,77.3,3.1,10.3,10.3,0.3,8.0
Hotdog,251,1055,50.3,10.2,27.0,27.0,11.4,0.1
Hummus organic,242,1011,55.9,6.1,10.5,10.5,18.0,8.5
Ice cream frozen novelties juice type,96,405,75.2,0.1,23.5,23.5,0.1,0.1
Ice cream mixed varieties,196,822,63.3,3.9,21.0,21.0,10.8,0.0
Ice cream vanilla rich,257,1074,55.0,3.9,23.5,23.5,16.5,0.1
Jams reduced sugar mixed varieties,135,569,65.0,0.0,33.0,33.0,0.0,1.0
Jams strawberry,247,1032,37.1,0.4,60.0,60.0,0.0,1.5
Jerusalem artichoke,81,343,80.0,2.5,17.5,17.5,0.1,
Kale raw ,51,215,86.3,4.3,5.5,5.5,0.9,2.0
Kefir,63,262,86.7,3.3,4.5,4.5,3.5,0.0
Kelp seaweed raw,86,362,78.3,7.5,10.5,10.5,1.2,1.5
Khaki-fruit fresh,78,327,79.5,0.5,18.5,18.5,0.0,0.5
Kidney beans raw,126,528,67.7,7.8,21.5,21.5,0.5,1.5
Kidneys beef raw,86,363,80.0,17.0,0.0,0.0,2.0,0.0
Kidneys pork raw,116,486,76.5,16.5,0.8,0.8,5.2,0.0
Kiwi fresh,48,205,86.8,1.0,10.3,10.3,0.2,0.7
Kohlrabi raw,29,122,90.5,2.0,4.0,4.0,0.0,2.5
Krupuk Indonesian snack prawn based,502,2098,4.5,4.0,65.0,65.0,25.0,0.5
Kumkwat,71,301,80.5,1.0,16.0,16.0,0.0,1.5
Köfte meatloaf beef,252,1053,52.0,26.0,8.0,8.0,13.0,0.0
Köfte meatloaf sheep,208,872,60.9,22.0,4.0,4.0,11.5,0.6
Lamb leg sirloin raw,173,726,69.0,19.2,0.0,0.0,10.8,0.0
Lamb rib,243,1015,61.1,19.2,0.0,0.0,18.7,0.0
Lamb saddle of,253,1057,60.2,18.6,0.0,0.0,20.2,0.0
Lamb shoulder domestic,206,865,62.1,25.0,0.0,0.0,11.9,0.0
Lamb trimmed retail cuts fat,281,1174,59.0,15.0,0.0,0.0,25.0,0.0
Lamb trimmed retail cuts lean,190,797,66.2,20.8,0.0,0.0,12.0,0.0
Lambs lettuce green,20,85,94.0,2.0,3.0,3.0,0.0,0.0
Lapwing beans dried,265,1107,0.0,20.0,43.0,43.0,1.5,0.0
Lard pork,882,3687,0.2,0.0,0.0,0.0,99.8,0.0
Lasagne ready-to-eat,146,614,70.2,6.8,13.6,13.6,6.9,1.5
Leek cooked,27,117,90.3,1.5,3.8,3.8,0.0,3.4
Leek raw,30,129,90.4,1.8,4.0,4.0,0.3,2.5
Lemon juice fresh,32,136,91.0,0.0,8.0,8.0,0.0,0.0
Lemon pealed fresh,36,151,89.4,0.5,6.5,6.5,0.4,2.2
Lentils seeds cooked boiled,117,490,68.3,10.0,15.0,15.0,0.7,5.0
Lentils seeds raw,309,1291,16.2,21.0,44.5,44.5,1.5,15.8
Lettuce green leaf raw,11,47,94.2,1.3,1.0,1.0,0.2,1.3
Lettuce iceberg,11,48,95.7,1.2,0.9,0.9,0.1,1.1
Lima beans cooked boiled,137,574,61.8,8.2,21.0,21.0,0.5,7.5
Lima beans raw,351,1467,12.3,21.5,63.5,63.5,0.7,
Limes fresh,32,135,93.0,0.5,2.0,2.0,2.5,
Ling fish raw,75,313,80.0,18.4,0.0,0.0,0.2,0.0
Linseed,486,2031,0.0,20.0,13.5,13.5,32.5,33.0
Linseed oil,882,3687,0.2,0.0,0.0,0.0,99.8,0.0
Liquor 15 % v/v mixed varieties,205,858,58.0,0.0,30.0,30.0,0.0,0.0
Liquor 15 - 25 % v/v mixed varieties,246,1446,52.0,0.0,30.0,30.0,0.0,0.0
Liquor 25 % v/v mixed varieties,355,1483,45.0,0.0,30.0,30.0,0.0,0.0
Liquor Jägermeister 34 % v/v,299,1249,50.0,0.0,15.0,15.0,0.0,0.0
Liver beef raw,123,519,72.7,20.7,2.0,2.0,3.6,0.0
Liver haddock canned ,397,1659,50.5,6.5,0.0,0.0,42.0,0.0
Liver haddock raw,79,334,79.7,19.0,0.0,0.0,0.3,0.0
Liver lamb raw,131,550,71.2,21.0,2.9,2.9,3.9,0.0
Liver pate pork canned,314,1312,54.8,14.2,1.7,1.7,28.3,0.0
Liver pork raw,132,555,70.9,22.2,2.0,2.0,3.9,0.0
Liver sausage Hausmacher,267,1116,57.6,15.4,5.2,5.2,20.8,0.0
Liver sausage pork cooked,322,1345,54.4,13.3,1.7,1.7,29.6,0.0
Liver veal raw,109,457,76.0,17.7,2.0,2.0,3.3,0.0
Liverwurst pork cooked,306,1279,53.2,18.8,1.8,1.8,25.2,0.0
Liverwurst spread,306,1279,56.8,12.2,1.6,1.6,28.4,0.0
Lobster mixed species cooked,82,345,0.0,16.0,0.0,0.0,2.0,0.0
Luncheon meat pork canned,334,1396,52.0,13.0,4.0,4.0,30.0,0.0
Luncheon meat pork sliced,308,1287,56.0,12.1,2.9,2.9,28.0,0.0
Lychee fresh,81,342,78.6,0.9,18.0,18.0,0.3,1.2
Macadamia nuts raw,733,3064,2.5,9.0,6.5,6.5,74.5,6.5
Mackerel Atlantic cooked,244,1019,58.3,24.0,0.0,0.0,16.7,0.0
Mackerel Atlantic raw,344,1438,50.3,18.0,0.0,0.0,30.7,0.0
Madeira 18 - 20 % v/v,156,656,71.0,0.0,10.0,10.0,0.0,0.0
Madeira 20 % v/v,165,692,72.0,0.0,10.0,10.0,0.0,0.0
Mango juice,41,173,88.9,0.1,9.5,9.5,0.2,0.3
Mangos fresh,61,259,83.3,1.1,12.8,12.8,0.3,1.5
Maple syrup,365,1526,9.0,0.0,90.0,90.0,0.0,0.0
Margarine liquid 80 % fat,725,3031,16.8,0.0,0.2,0.2,82.0,0.0
Margarine regular 80% fat,711,2972,18.0,0.0,1.0,1.0,80.0,0.0
Margarine-like spread 25 % fat,255,1065,65.5,2.5,6.0,6.0,25.0,0.0
Margarine-like spread 40 % fat,361,1509,57.0,1.5,0.5,0.5,40.0,0.0
Marjoram dried,331,1383,16.3,12.5,45.0,45.0,7.2,18.0
Marmalade orange,292,1220,27.2,0.8,70.0,70.0,0.5,0.5
Marshmellows,332,1394,17.0,2.0,80.0,80.0,0.0,0.0
Marzipan,456,1906,15.0,8.0,50.0,50.0,25.0,0.0
Mayonnaise classic,741,3097,12.8,1.7,2.5,2.5,82.0,0.0
Mayonnaise light 35 % oil,370,1547,50.0,1.0,12.0,12.0,36.0,0.0
Mayonnaisse extra light 25 % oil,282,1178,60.0,1.0,12.0,12.0,26.0,0.0
Meat sheep raw,217,908,64.0,17.5,0.0,0.0,16.5,0.0
Meat substitute breaded mixed varieties,212,890,58.0,12.8,12.6,12.6,11.5,4.1
Meat substitute milkproteïne based,134,565,69.5,15.5,5.0,5.0,5.0,4.0
Meat substitute raw mixed varieties,169,710,63.8,18.4,6.1,6.1,7.2,3.5
Meatballs ready-to-eat,372,1555,42.5,15.0,11.5,11.5,30.0,0.0
Meatballs small cooked,195,818,61.5,17.0,5.0,5.0,12.0,3.5
Melons cantaloupe fresh,47,197,84.3,0.9,7.0,7.0,0.3,6.5
Milk beverage reduced fat mixed varieties,50,211,88.9,3.1,5.0,5.0,2.0,0.0
Milk dried nonfat,349,1459,4.0,35.0,50.0,50.0,1.0,0.0
Milk dried whole,503,2103,8.5,27.0,35.0,35.0,28.5,0.0
Milk goat,64,269,88.0,3.8,4.5,4.5,3.8,0.0
Milk human mature fluid,69,289,85.7,1.3,7.0,7.0,4.0,0.0
Milk nonfat,37,156,89.9,3.9,5.1,5.1,0.1,0.0
Milk reduced fat,46,194,89.3,3.4,4.8,4.8,1.5,0.0
Milk reduced fat calcium enriched,74,196,90.0,3.3,4.9,4.9,1.6,0.0
Milk reindeer raw,233,978,64.5,10.8,4.1,4.1,19.6,0.0
Milk whole 340% milkfat,62,261,87.6,3.7,4.3,4.3,3.4,0.0
Milkshakes mixed varieties,128,539,72.9,3.2,16.8,16.8,5.2,0.9
Millet cooked,102,428,74.7,3.5,18.6,18.6,1.2,1.0
Millet raw,327,1366,21.3,10.6,60.0,60.0,3.9,3.2
Minced ground meat beef,209,878,64.5,19.1,0.8,0.8,14.6,0.0
Minced ground meat beef and pork,252,1053,60.9,17.5,0.0,0.0,20.6,0.0
Minced ground meat lamb,192,805,66.8,19.3,0.0,0.0,12.9,0.0
Minced ground meat pork,208,872,65.2,18.8,2.0,2.0,14.0,0.0
Minced ground meat veal,148,620,72.0,19.0,0.0,0.0,8.0,0.0
Minced meat tartar beef,127,533,72.8,21.8,0.0,0.0,4.4,0.0
Minced soyburger vegetarian,233,977,50.6,28.0,10.2,10.2,8.5,1.7
Mini pizza mixed varieties,232,975,52.0,11.5,24.5,24.5,9.5,1.5
Miso,139,586,66.9,13.0,6.5,6.5,5.3,7.3
Moessaka Greek dish,208,871,63.0,6.5,10.0,10.0,15.0,4.5
Monkfish raw,74,311,81.5,15.0,0.0,0.0,1.5,0.0
Mortadella beef pork,304,1270,53.8,16.5,3.4,3.4,25.3,0.0
Muesli candybar,499,2086,0.4,7.5,57.8,57.8,24.7,8.6
Muesli crispy sweetened mixed varieties,478,1998,4.6,7.4,60.0,60.0,22.2,4.8
Muesli dried fruit and nuts mixed varieties,379,1584,8.0,10.0,66.5,66.5,6.0,8.5
Muffins English plain,327,1366,31.4,8.0,48.0,48.0,11.3,0.3
Muscatel 15 % v/v,139,581,75.0,0.0,12.0,12.0,0.0,0.0
Mushrooms canned glas,31,132,89.7,2.3,2.5,2.5,0.5,4.0
Mushrooms oyster raw,22,96,90.5,1.5,1.0,1.0,0.2,5.8
Mushrooms shiitake dried,192,805,12.1,16.5,23.5,23.5,3.4,43.5
Mushrooms stir-fried,61,256,86.4,3.5,0.9,0.9,4.0,4.2
Mushrooms white raw,16,71,93.5,2.7,0.3,0.3,0.0,2.5
Mussels blue fried ,323,1350,44.0,32.0,2.0,2.0,21.0,0.0
Mussels blue raw,74,311,84.2,9.8,2.0,2.0,3.0,0.0
Mussels canned sour ,111,466,73.9,23.1,0.0,0.0,2.0,0.0
Mustard prepared yellow,85,358,82.6,5.0,7.4,7.4,4.0,0.0
Mustard spinach raw  ,31,132,90.6,2.0,5.3,5.3,0.0,1.1
Nectarines fresh,36,154,89.2,1.0,7.5,7.5,0.0,1.3
Noodles Japanese soba,368,1538,9.5,14.5,74.0,74.0,1.0,0.0
Noodles rice raw,361,1509,9.9,5.0,82.0,82.0,0.6,1.5
Norway lobster Langoestine,85,355,78.4,17.2,1.3,1.3,1.1,0.0
Nougats soft,395,1651,12.0,1.0,76.5,76.5,9.0,0.5
Nutmeg ground,545,2278,7.0,5.5,44.0,44.0,38.0,4.5
Oat bran raw,381,1593,9.8,13.5,62.0,62.0,7.0,6.7
Oat cookie,353,1476,22.4,8.3,55.0,55.0,10.2,3.1
Oat flour,390,1630,7.4,14.9,62.0,62.0,7.2,7.5
Oat malt,380,1588,9.4,13.1,62.0,62.0,7.0,7.5
Oat malt porridge,76,322,82.4,3.5,9.5,9.5,2.5,1.1
Oats raw,374,1563,12.2,12.6,61.5,61.5,7.1,5.6
Oil light reduced fat,883,3691,0.0,0.0,0.0,0.0,100.0,0.0
Oil vegetable for deep frying,884,3695,0.0,0.0,0.0,0.0,100.0,0.0
Okra Chinese raw,45,192,86.2,2.2,7.2,7.2,0.2,3.2
Okra cooked,34,144,90.3,1.5,6.2,6.2,0.2,0.8
Okra raw,42,180,83.8,2.2,8.0,8.0,0.2,4.8
Olive oil,883,3691,0.0,0.0,0.2,0.2,99.8,0.0
Olives ripe canned,136,571,79.4,1.4,0.2,0.2,13.8,4.2
Onions deep fried,628,2625,0.0,6.0,44.5,44.5,46.5,6.5
Onions dried,274,1145,21.0,10.5,44.5,44.5,1.0,22.0
Onions raw,36,151,89.0,1.2,6.1,6.1,0.2,2.5
Onions stir fried,57,239,88.5,1.0,5.0,5.0,3.5,1.0
Onions young  white canned sweet/sauer,37,156,89.0,0.0,8.5,8.5,0.0,1.5
Orange juice,45,189,88.1,0.7,10.0,10.0,0.2,0.0
Oranges fresh,44,186,85.2,1.0,9.5,9.5,0.2,2.1
Oregano dried,371,1551,11.2,11.4,50.0,50.0,10.4,16.0
Ostrich tenderloin raw,104,438,75.0,21.5,1.0,1.0,1.5,0.0
Oxtail,183,767,66.4,20.1,0.0,0.0,11.5,0.0
Oyster Pacific raw,70,294,83.8,10.0,3.4,3.4,1.8,0.0
Palm oil,874,3653,0.0,0.0,0.0,0.0,98.9,0.0
Pancakes Puffs,294,1228,43.8,7.0,33.2,33.2,14.9,0.1
Papayas fresh,45,191,87.2,0.6,9.9,9.9,0.1,1.2
Paprika,353,1479,16.3,15.0,35.0,35.0,12.7,20.0
Parsley dried,315,1316,20.5,22.0,42.0,42.0,4.0,10.5
Parsley raw,34,143,88.4,4.4,1.5,1.5,0.2,4.5
Parsnips raw,89,373,75.0,1.5,17.0,17.0,0.5,5.0
Partidge game meat raw,210,881,56.0,35.0,0.5,0.5,7.5,0.0
Passion fruit juice purple,47,200,87.5,0.8,10.0,10.0,0.4,0.3
Passion fruit purple fresh,120,504,66.2,2.3,22.3,22.3,0.7,7.5
Pasta Macaroni raw,359,1501,12.1,13.5,67.0,67.0,3.0,3.4
Pasta Macaroni whole wheat raw,336,1404,12.8,11.0,62.0,62.0,2.2,11.0
Pasta plain cooked,99,417,75.2,4.5,17.5,17.5,1.0,0.8
Pasta plain mixed varieties raw,359,1501,12.1,13.5,67.0,67.0,3.0,3.4
Pasta whole wheat mixed varieties raw,352,1471,10.0,12.0,65.0,65.0,2.5,9.5
Paté,374,1568,48.5,11.0,4.0,4.0,35.5,0.0
Peaches fresh,39,162,87.5,0.8,8.7,8.7,0.1,0.0
Peanut butter smooth mixed varieties,625,2613,3.0,26.0,12.0,12.0,52.0,6.0
Peanuts raw salted,625,2613,3.5,25.5,10.0,10.0,53.0,7.0
Peanuts raw unsalted,623,2604,2.8,26.0,11.2,11.2,52.0,7.0
Pears canned heavy syrup,76,322,79.1,0.3,17.5,17.5,0.1,2.0
Pears fresh,54,229,84.4,0.5,11.0,11.0,0.3,2.8
Peas canned,88,372,75.5,6.5,10.8,10.8,1.0,5.2
Peas cooked,86,363,75.0,5.0,14.0,14.0,0.0,5.0
Peas green cooked,106,445,71.1,6.6,16.5,16.5,0.5,4.3
Peas green dried split,326,1362,9.9,22.5,45.0,45.0,1.6,20.0
Peas raw,64,269,80.4,4.5,8.9,8.9,0.0,5.2
Pecan nuts,717,2997,4.5,8.5,9.5,9.5,72.0,4.5
Pepper black white,309,1291,15.6,11.3,50.0,50.0,2.6,19.5
Peppermint candy,402,1680,1.0,0.0,99.0,99.0,0.0,0.0
Pepperoni,448,1876,35.7,20.0,3.3,3.3,40.0,0.0
Pepperoni savaloy,382,1597,45.5,18.3,0.5,0.5,34.7,0.0
Perch raw,82,344,79.7,18.5,0.0,0.0,0.8,0.0
Perch river mixed species raw,81,338,80.0,18.4,0.0,0.0,0.8,0.0
Pheasant raw meat and skin,229,962,56.5,30.5,0.0,0.0,12.0,0.0
Phyllo dough,299,1249,32.0,7.5,53.0,53.0,6.0,0.0
Piccalilli pickles veggies and spices,42,180,88.5,1.0,6.5,6.5,1.0,2.0
Pickles Gherkin sweet sour,14,62,94.7,1.1,2.0,2.0,0.0,1.2
Pie fruit mixed varieties,270,1128,41.1,3.5,43.0,43.0,8.7,2.7
Pie rice commercially prepared,250,1045,47.7,6.0,34.4,34.4,9.5,1.4
Pie/cake mixed varieties,384,1605,30.1,4.0,41.0,41.0,22.5,1.4
Pine nuts raw,635,2654,2.4,27.0,13.5,13.5,52.5,3.6
Pineapple fresh,61,256,83.4,0.5,13.5,13.5,0.2,1.4
Pineapple juice,50,211,86.4,0.8,11.5,11.5,0.0,0.3
Pistachios roasted salted,606,2533,11.6,17.5,8.4,8.4,55.5,6.0
Pistachios unsalted,649,2713,0.0,19.5,24.0,24.0,51.5,9.4
Pizza mixed varieties ready-to-eat,203,852,56.1,9.0,25.7,25.7,6.8,1.4
Pizza vegetarian mixed variet,171,719,59.5,7.5,26.0,26.0,3.5,2.5
Plaice flatfish cooked,179,752,66.5,21.0,1.5,1.5,10.0,0.0
Plaice flatfish raw,94,393,73.0,19.0,0.0,0.0,2.0,0.0
PlantaIns fresh,137,575,64.4,1.0,31.5,31.5,0.2,1.9
Plum juice,58,245,84.5,0.6,13.5,13.5,0.1,0.3
Plums dried uncooked,221,927,36.0,2.0,45.0,45.0,0.0,16.0
Plums fresh,60,255,83.6,0.8,12.0,12.0,0.6,2.0
Plums mixed varieties fresh,56,235,84.5,0.6,12.0,12.0,0.2,1.7
Pollock Atlantic frozen,76,320,80.6,18.0,0.0,0.0,0.4,0.0
Pollock Atlantic raw,80,333,80.0,17.2,0.0,0.0,1.2,0.0
Pomegranate fresh,85,360,77.3,1.0,17.5,17.5,0.7,2.5
Pomegranate juice bottled,45,189,87.7,0.2,10.5,10.5,0.1,0.5
Popcorn,376,1575,7.9,12.5,70.0,70.0,3.6,5.0
Poppy seed,503,2103,12.8,20.0,4.2,4.2,41.5,20.5
Pork belly raw,384,1605,46.4,15.0,0.1,0.1,36.5,0.0
Pork cheeks raw,533,2228,33.2,10.0,0.1,0.1,55.8,0.0
Pork chops bone-in raw,196,824,66.4,19.0,0.1,0.1,13.5,0.0
Pork chops in peanut sauce,215,904,61.2,13.5,10.5,10.5,13.3,0.5
Pork chops neck cooked,275,1149,53.0,27.5,0.0,0.0,18.5,0.0
Pork chops neck raw,195,818,66.4,19.4,0.0,0.0,13.2,0.0
Pork cured legham pan-broil ,129,542,72.6,18.2,1.7,1.7,5.5,0.0
Pork cured legham roasted,116,488,75.1,19.2,0.6,0.6,4.1,0.0
Pork kidneys raw,113,474,77.2,16.5,0.1,0.1,5.2,0.0
Pork liver cooked,198,830,59.0,28.5,4.0,4.0,7.5,0.0
Pork loin filets,144,604,70.4,22.7,0.0,0.0,5.9,0.0
Pork loin raw,116,488,73.1,23.5,0.0,0.0,2.4,0.0
Pork ribeye entrecote,144,604,70.0,22.7,1.0,1.0,5.9,0.0
Pork roast fricandeau,124,522,72.4,23.0,0.1,0.1,3.5,0.0
Pork sausage canned cooked,320,1337,54.2,13.2,2.5,2.5,29.1,0.0
Pork shoulder chops,195,818,66.4,19.4,0.0,0.0,13.2,0.0
Pork shoulder raw,217,909,63.4,20.4,0.0,0.0,15.2,0.0
Pork spareribs raw,280,1170,58.1,16.8,0.1,0.1,24.0,0.0
Pork tenderloin raw,119,502,73.1,22.8,0.0,0.0,3.1,0.0
Pork variety meat raw,111,468,75.0,21.0,0.0,0.0,3.0,0.0
Port 19 % v/v,150,627,73.0,0.0,13.0,13.0,0.0,0.0
Potato baked,126,529,73.0,2.0,16.0,16.0,5.5,2.5
Potato chips plain average,557,2328,5.0,5.5,43.0,43.0,39.5,6.0
Potato chips plain light ,479,2002,3.7,6.5,61.0,61.0,22.0,5.8
Potato flour,329,1375,17.9,0.1,81.0,81.0,0.0,0.0
Potato sticks mashed breaded,223,936,55.8,3.2,27.0,27.0,11.0,2.0
Potatoes cooked no skin,82,346,77.4,2.0,17.0,17.0,0.1,2.5
Potatoes mashed instant prepared,99,418,79.3,3.5,12.0,12.0,4.2,0.0
Potatoes raw,85,357,76.7,2.0,17.6,17.6,0.1,2.6
Potatoes sliced prebaked,141,591,68.5,2.0,20.5,20.5,5.0,3.0
Poultry meat ground mixed variaties,136,568,70.0,20.2,0.0,0.0,6.1,0.0
Pretzel,395,1654,5.7,9.3,80.0,80.0,3.6,0.4
Puddings dry mix chocolate,356,1488,13.2,3.2,80.0,80.0,2.0,0.6
Puddings dry mix mixed varieties,358,1496,10.4,0.0,88.0,88.0,0.0,0.6
Puddings mixed varieties home prepared,135,569,67.7,3.8,21.3,21.3,3.2,3.0
Puddings rice ready-to-eat,81,342,82.2,3.5,10.0,10.0,3.0,0.3
Puff pastry light frozen,380,1588,31.8,5.5,37.5,37.5,23.0,1.2
Pumpkin cooked,17,73,94.4,0.6,2.5,2.5,0.3,1.2
Pumpkin raw,36,153,89.7,1.1,7.0,7.0,0.2,1.0
Pumpkin seeds,345,1442,38.6,24.5,7.0,7.0,23.5,5.4
Purslane cooked,21,88,92.5,2.0,2.0,2.0,0.0,2.5
Purslane raw,17,73,93.6,1.2,1.5,1.5,0.2,2.5
Quail meat and skin raw,190,796,65.9,19.5,0.1,0.1,12.5,0.0
Quark cottage cheese half and half,100,421,79.5,12.0,3.0,3.0,4.5,0.0
Quark cottage cheese non-fat,71,299,82.0,13.0,3.5,3.5,0.5,0.0
Quiche vegetable type,321,1341,,,,,26.0,
Quinces fresh,69,291,80.9,0.5,15.5,15.5,0.1,2.0
Quinoa uncooked,392,1639,8.5,16.2,63.9,63.9,6.9,3.5
Quorn meat substitute,141,594,64.2,14.0,12.7,12.7,2.6,5.5
Rabbit game meat domesticated,173,727,68.0,21.0,0.0,0.0,10.0,0.0
Rabbit game meat wild raw,133,559,72.0,22.0,0.0,0.0,5.0,0.0
Radishes black fresh,32,136,90.6,2.0,5.0,5.0,0.2,1.2
Radishes fresh,18,76,94.1,1.0,2.5,2.5,0.2,1.2
Raisins mixed varieties,329,1375,13.0,2.0,75.0,75.0,0.0,9.0
Raisins seedles,291,1216,24.5,2.5,66.5,66.5,0.1,5.4
Rapeseed oil,875,3658,1.0,0.0,0.0,0.0,99.0,0.0
Raspberries fresh,68,286,76.0,1.2,14.3,14.3,0.5,7.0
Ratatouille cooked,51,215,88.2,1.4,4.9,4.9,2.5,2.0
Ravioli cooked,101,427,77.9,4.0,13.5,13.5,3.5,0.1
Ray fish raw,85,355,79.0,20.7,0.0,0.0,0.2,0.0
Real chervil dried,305,1274,22.0,23.5,39.0,39.0,3.5,11.0
Real chervil fresh,75,316,81.1,4.0,12.0,12.0,1.0,0.9
Red berries fresh,51,213,82.9,1.1,7.9,7.9,0.1,7.9
Red berry juice,38,160,88.6,0.0,9.4,9.4,0.0,0.0
Redfish raw,105,442,77.2,18.2,0.0,0.0,3.6,0.0
Rhubarb cooked with sugar,87,368,76.4,0.5,20.0,20.0,0.1,2.0
Rhubarb raw,14,62,94.4,0.5,2.0,2.0,0.1,2.0
Rice basmati raw,354,1480,11.6,7.0,78.5,78.5,0.6,1.3
Rice brown regular cooked,137,575,65.3,3.2,26.0,26.0,1.5,3.0
Rice brown regular raw,361,1509,10.3,7.5,75.0,75.0,2.2,4.0
Rice cake brown rice milled corn,350,1464,79.0,9.9,77.7,77.7,0.0,3.5
Rice cake brown rice multigrain,380,1588,6.5,10.0,75.0,75.0,3.0,4.5
Rice cake brown rice plain,374,1563,8.5,8.0,74.5,74.5,3.5,4.5
Rice flour white,359,1501,11.1,7.5,79.5,79.5,0.7,0.2
Rice white regular cooked,96,403,75.3,2.5,20.0,20.0,0.4,0.8
Rice white regular raw,355,1484,11.5,7.0,78.5,78.5,0.7,1.3
Roast beef lean,168,705,64.2,28.3,0.8,0.8,5.7,0.0
Roast fricandeau pork cooked,152,637,64.9,31.2,0.0,0.0,2.9,0.0
Roast fricandeau pork fried,128,538,71.8,21.0,2.4,2.4,3.8,0.0
Roast fricandeau veal,104,439,74.7,23.0,0.0,0.0,1.3,0.0
Roe fish eggs mixed species raw,150,630,67.9,26.0,0.0,0.0,5.1,0.0
Rose hip fresh,95,395,50.5,3.5,19.5,19.5,0.1,
Rose hip heavy syrup,223,935,44.0,0.0,55.0,55.0,0.0,0.0
Rose hip jam,256,1070,35.4,0.1,62.5,62.5,0.0,1.0
Rosemary dried,380,1588,13.5,4.5,45.0,45.0,16.0,20.0
Rum 43 % v/v,229,957,67.0,0.0,0.0,0.0,0.0,0.0
Rusk Dutch,392,1639,6.9,12.3,70.8,70.8,5.5,3.5
Rusk Dutch whole weat,389,1626,6.9,16.0,62.0,62.0,6.6,7.5
Russian salad diced potatoes beef,170,715,68.5,6.0,12.5,12.5,10.5,1.5
Rutabagas raw,24,102,90.3,1.0,5.0,5.0,0.2,2.5
Rye flour,305,1274,16.8,7.6,56.6,56.6,1.5,16.5
Rösti ready-to-eat,134,563,68.2,2.5,21.5,21.5,3.5,3.3
Safflower oil,883,3691,0.0,0.0,0.0,0.0,100.0,0.0
Salad dressing mayonnaise type light,372,1555,51.2,0.7,9.6,9.6,37.4,0.1
Salad dressing mayonnaise-type 25 % oil,269,1124,62.5,1.0,10.0,10.0,25.5,0.0
