id_recepta,kolicina,enota,sestavina
97,4,tbsp,hoisin sauce

97,1/2,tsp,chili sauce

97,1,tbsp,warm water

98,2,pounds,carrots

98,2,tablespoons,extra-virgin olive oil

98,1,tablespoon,minced fresh thyme leaves

98,1/4,cup,chopped fresh Italian parsley

98,3,cloves,garlic

98,2,tsp,kosher salt

99,6,pieces,chicken thighs

99,1,medium,lemon

99,1,teaspoon,kosher salt

99,1/4,teaspoon,black pepper

99,1,teaspoon,garlic powder

99,1,teaspoon,onion powder

99,1/2,teaspoon,sweet paprika

99,1/2,teaspoon,dried herbs 

100,1,teaspoon,olive oil

100,1/4,cup,red onion

100,1,cup,zucchini

100,1,large,egg

100,3/4,cup,egg whites

100,2,tablespoons,Parmesan cheese

100,1/4,teaspoon,

101,1,tablespoon,extra-virgin olive oil

101,1,large,yellow onion

101,1,tablespoon,minced garlic

101,2,teaspoons,chili powder

101,1,teaspoon,dried oregano

101,1,15-ounce can,crushed tomatoes

101,1,quart,chicken or turkey stock

101,2,cups,shredded cooked chicken or turkey meat

101,4,6-inch,corn tortillas

101,3,tablespoons,vegetable oil

102,1,large,butternut squash

102,1,tablespoon,olive oil

102,1/2,teaspoon,kosher salt

102,1/2,cup,uncooked wild rice

102,1 1/2,cups,water or broth

102,1,tablespoon,olive oil

102,1/2,pound,fresh sweet Italian chicken or turkey sausage

102,2,cups,loosely packed sliced mushrooms

102,2,cloves,garlic

102,1/2,teaspoon,kosher salt

102,2,cups,loosely packed shredded kale

102,1/4,cup,apple juice sweetened cranberries

102,1,tablespoon,chopped fresh thyme leaves

103,1/2,pound,Brussels sprouts

103,4.5,ounces,baby kale leaves

103,1/4,cup,extra-virgin olive oil

103,3,tablespoons,apple cider vinegar

103,1,tablespoon,Dijon mustard

103,1,tablespoon,pure maple syrup

103,1,small,garlic clove

103,1/4,teaspoon,kosher salt

103,2/3,cup,finely grated Parmesan cheese

